"Mod name","Registry name","Entity class name","ID"
"Abyssal Depths","abyssaldepths:bannerfish","Banner",7
"Abyssal Depths","abyssaldepths:blackcap_basslet","BlackCap",9
"Abyssal Depths","abyssaldepths:butterflyfish","Butterflyfish",3
"Abyssal Depths","abyssaldepths:clownfish","Clownfish",1
"Abyssal Depths","abyssaldepths:fairy_basslet","Fairy",8
"Abyssal Depths","abyssaldepths:fish","CommonFish",0
"Abyssal Depths","abyssaldepths:masked_butterflyfish","Masked",4
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish","Raccoon",5
"Abyssal Depths","abyssaldepths:sailfish","Sailfish",10
"Abyssal Depths","abyssaldepths:sea_serpent","SeaSerpent",12
"Abyssal Depths","abyssaldepths:seahorse","Seahorse",2
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish","Spotfin",6
"Abyssal Depths","abyssaldepths:swordfish","Swordfish",11
"Ancient Beasts","ancientbeasts:ball","EntityBall",6
"Ancient Beasts","ancientbeasts:beam","EntityBeam",16
"Ancient Beasts","ancientbeasts:bonepile","EntityBonepile",25
"Ancient Beasts","ancientbeasts:boulder","EntityBoulder",13
"Ancient Beasts","ancientbeasts:boulderer","EntityBoulderer",21
"Ancient Beasts","ancientbeasts:chained","EntityChained",26
"Ancient Beasts","ancientbeasts:damcell","EntityDamcell",18
"Ancient Beasts","ancientbeasts:damcell_spike","EntityDamcellSpike",19
"Ancient Beasts","ancientbeasts:fake_vessel","EntityFakeDuplicate",8
"Ancient Beasts","ancientbeasts:frost_walker","EntityFrostWalker",10
"Ancient Beasts","ancientbeasts:frostash_fox","EntityFrostashFox",9
"Ancient Beasts","ancientbeasts:ghost","EntityGhost",2
"Ancient Beasts","ancientbeasts:giant_zombie","EntityGiant",12
"Ancient Beasts","ancientbeasts:ice_crystal","EntityIceCrystal",11
"Ancient Beasts","ancientbeasts:ice_dart","EntityIceDart",4
"Ancient Beasts","ancientbeasts:lil_vessel","EntityLilVessel",17
"Ancient Beasts","ancientbeasts:nekros","EntityNekros",27
"Ancient Beasts","ancientbeasts:netherhound","EntityNetherhound",20
"Ancient Beasts","ancientbeasts:owlstack","EntityOwlstack",22
"Ancient Beasts","ancientbeasts:rifted_enderman","EntityRiftedEnderman",23
"Ancient Beasts","ancientbeasts:rifted_pearl","EntityRiftedPearl",24
"Ancient Beasts","ancientbeasts:sand_shot","EntitySandSpit",15
"Ancient Beasts","ancientbeasts:sandy","EntitySandy",1
"Ancient Beasts","ancientbeasts:tornado","EntityTornado",14
"Ancient Beasts","ancientbeasts:v_head","EntityVesselHead",5
"Ancient Beasts","ancientbeasts:vessel","EntityVessel",7
"Ancient Beasts","ancientbeasts:zealot","EntityZealot",3
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_bard","NpcBard",5
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_combat","NpcCombat",0
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_courier","NpcCourier",2
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_priest","NpcPriest",4
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_siege_engineer","NpcSiegeEngineer",6
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_trader","NpcTrader",3
"Ancient Warfare NPCs","ancientwarfarenpc:aw_npc_worker","NpcWorker",1
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer","NpcFactionArcher",7
"Ancient Warfare NPCs","ancientwarfarenpc:faction.archer.elite","NpcFactionArcherElite",16
"Ancient Warfare NPCs","ancientwarfarenpc:faction.bard","NpcFactionBard",19
"Ancient Warfare NPCs","ancientwarfarenpc:faction.cavalry","NpcFactionMountedSoldier",12
