"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Abyssal Depths","abyssaldepths:bannerfish",5524,0,"false","Bannerfish",3,0.4,"lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:butterflyfish",5525,0,"false","Butterflyfish",2,0.1,"lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:cooked_butterflyfish",5526,0,"false","Cooked Butterflyfish",6,0.6,"listAllfishcooked,listAllmeatcooked"
"Abyssal Depths","abyssaldepths:masked_butterflyfish",5527,0,"false","Masked Butterflyfish",2,0.1,"lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish",5528,0,"false","Raccoon Butterflyfish",2,0.1,"lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish",5529,0,"false","Spotfin Butterflyfish",2,0.1,"lishAllfishraw,listAllfishfresh"
"Ancient Beasts","ancientbeasts:cactus_broth",5532,0,"false","Cactus Broth",12,0.8,""
"Ancient Warfare NPCs","ancientwarfarenpc:food_bundle",5646,0,"false","Food Bundle",15,1.0,"foodBundle"
"AncientSpellcraft","ancientspellcraft:ice_cream",12333,0,"false","Ice Cream",1,0.6,""
"Aquaculture","aquaculture:food",4264,0,"true","Seaweed",2,0.0,"cropSeaweed"
"Aquaculture","aquaculture:food",4264,1,"true","Algae",2,0.0,""
"Aquaculture","aquaculture:food",4264,2,"true","Raw Whale Steak",2,0.3,"listAllmeatraw"
"Aquaculture","aquaculture:food",4264,3,"true","Raw Fish Fillet",2,0.3,"listAllfishfresh,listAllfishraw,listAllmeatraw"
"Aquaculture","aquaculture:food",4264,4,"true","Cooked Fish Fillet",5,0.6,"listAllfishcooked"
"Aquaculture","aquaculture:food",4264,5,"true","Cooked Whale Steak",10,0.8,"listAllmeatcooked"
"Aquaculture","aquaculture:food",4264,6,"true","Cooked Whale Burger",20,0.8,""
"Aquaculture","aquaculture:food",4264,7,"true","Frog Legs",2,0.3,"foodFrograw,listAllmeatraw"
"Aquaculture","aquaculture:food",4264,8,"true","Cooked Frog Legs",3,0.6,"listAllmeatcooked"
"Aquaculture","aquaculture:food",4264,9,"true","Turtle Soup",6,0.6,""
"Aquaculture","aquaculture:food",4264,10,"true","Sushi",4,0.6,"foodSushi"
"Atum 2","atum:camel_cooked",6023,0,"false","Cooked Camel",9,0.7,"listAllmeatcooked"
"Atum 2","atum:camel_raw",6022,0,"false","Raw Camel",3,0.2,"listAllmeatraw"
"Atum 2","atum:crunchy_golden_scarab",6039,0,"false","Crunchy Golden Scarab",6,1.2,""
