"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"Abyssal Depths","abyssaldepths:bannerfish",5524,0,"false","Bannerfish","lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:butterflyfish",5525,0,"false","Butterflyfish","lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:cooked_butterflyfish",5526,0,"false","Cooked Butterflyfish","listAllfishcooked,listAllmeatcooked"
"Abyssal Depths","abyssaldepths:goggles",5520,0,"false","Goggles",""
"Abyssal Depths","abyssaldepths:long_billfish_spike",5522,0,"false","Long Billfish Spike",""
"Abyssal Depths","abyssaldepths:masked_butterflyfish",5527,0,"false","Masked Butterflyfish","lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish",5528,0,"false","Raccoon Butterflyfish","lishAllfishraw,listAllfishfresh"
"Abyssal Depths","abyssaldepths:seaweed",5519,0,"false","Seaweed","cropSeaweed"
"Abyssal Depths","abyssaldepths:short_billfish_spike",5521,0,"false","Short Billfish Spike",""
"Abyssal Depths","abyssaldepths:spike_sword",5523,0,"false","Spike Sword",""
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish",5529,0,"false","Spotfin Butterflyfish","lishAllfishraw,listAllfishfresh"
"Ancient Beasts","ancientbeasts:bestiary",5545,0,"false","Bestiarium",""
"Ancient Beasts","ancientbeasts:cactus_broth",5532,0,"false","Cactus Broth",""
"Ancient Beasts","ancientbeasts:charred_cloak",5543,0,"false","Charred Cloak",""
"Ancient Beasts","ancientbeasts:charred_fur",5542,0,"false","Charred Fur",""
"Ancient Beasts","ancientbeasts:cursed_wood",5547,0,"false","item.cursed_wood.name",""
"Ancient Beasts","ancientbeasts:dark_goop",5554,0,"false","Dark Essence",""
"Ancient Beasts","ancientbeasts:ectoplasm",5535,0,"false","Ectoplasm",""
"Ancient Beasts","ancientbeasts:ice_dart",5537,0,"true","Ice Spikes",""
"Ancient Beasts","ancientbeasts:ice_dart",5537,1,"true","Ice Spikes",""
"Ancient Beasts","ancientbeasts:ice_wand",5538,0,"false","Frost Wand",""
"Ancient Beasts","ancientbeasts:ice_wand_red",5539,0,"false","Frostblood Wand",""
"Ancient Beasts","ancientbeasts:kunai",5553,0,"false","Kunai",""
"Ancient Beasts","ancientbeasts:logo",5533,0,"false","item.logo.name",""
"Ancient Beasts","ancientbeasts:miner_helmet",5544,0,"false","Miner Helmet","itemArmor,itemHelmet"
"Ancient Beasts","ancientbeasts:moving_light_source",5560,0,"false","tile.moving_light_source.name",""
"Ancient Beasts","ancientbeasts:mysterious_dust",5551,0,"false","item.mysterious_dust.name",""
"Ancient Beasts","ancientbeasts:pokey",5557,0,"false","Pokey",""
"Ancient Beasts","ancientbeasts:rifted_pearl",5546,0,"false","Rifted Ender Pearl",""
"Ancient Beasts","ancientbeasts:sandmonster_scale",5530,0,"false","Sandmonster Scale",""
"Ancient Beasts","ancientbeasts:sandy_love",5534,0,"false","item.sandy_love.name",""
"Ancient Beasts","ancientbeasts:scale_armor",5555,0,"false","Desert Robes",""
"Ancient Beasts","ancientbeasts:scale_hood",5556,0,"false","Desert Hood","itemArmor,itemHelmet"
"Ancient Beasts","ancientbeasts:shield_book",5531,0,"false","Occult Tome",""
"Ancient Beasts","ancientbeasts:skewer",5558,0,"false","Skewer",""
"Ancient Beasts","ancientbeasts:spear",5548,0,"false","Spear",""
"Ancient Beasts","ancientbeasts:spike",5541,0,"false","Spikes",""
"Ancient Beasts","ancientbeasts:spiky",5559,0,"false","Spike",""
"Ancient Beasts","ancientbeasts:stick_wall",5561,0,"false","Block of Sticks",""
"Ancient Beasts","ancientbeasts:thatch",5562,0,"false","Thatch",""
"Ancient Beasts","ancientbeasts:tough_glove",5536,0,"false","Tough Glove",""
